죄종별(1),죄종별(2),소,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총계,기타범죄,성매매알선등행위의처벌에관한법률위반(성매매알선등),1640,1589,1857,3748,3374,3998,3131,2016,1768,1090,787,724
총계,기타범죄,성매매알선등행위의처벌에관한법률위반(아동·청소년),19,15,5,4,2,2,5,7,2,-,1,2
총계,기타범죄,성매매알선등행위의처벌에관한법률위반(기타),1058,1171,1857,2633,2559,3802,2071,1792,1352,941,835,932
총계,기타범죄,성폭력범죄의처벌등에관한특례법위반(기타),-,-,859,2104,2662,2853,2487,4462,5089,5934,5479,6266
총계,기타범죄,소방기본법,2,5,13,17,43,40,28,26,17,12,31,34
총계,기타범죄,수도법,65,94,107,129,78,118,184,146,124,161,150,63
총계,기타범죄,수산물품질관리법,4,-,-,-,-,-,-,-,-,-,-,-
총계,기타범죄,수산업법,5601,5155,5765,1012,3552,3833,4197,2419,3516,5261,1432,913
총계,기타범죄,수산자원보호령,4,1,-,-,-,-,-,-,-,-,-,-
총계,기타범죄,신앙에관한죄,228,250,258,258,279,263,308,360,342,217,248,223
총계,기타범죄,신용정보의이용및보호에관한법률,63,53,150,33,23,43,58,17,33,44,26,28
총계,기타범죄,실화및업무상실화죄,2677,2400,2237,2048,2093,2019,2322,2171,2304,2358,2250,2573
총계,기타범죄,스토킹처벌법,-,-,-,-,-,-,-,-,-,-,1023,10545
총계,기타범죄,아동·청소년의성보호에관한법률위반(강요행위등),51,63,63,48,59,64,74,57,47,57,79,39
총계,기타범죄,아동·청소년의성보호에관한법률위반(매매),25,20,14,12,11,8,12,6,5,12,7,4
총계,기타범죄,아동·청소년의성보호에관한법률위반(성매수등),385,288,258,226,178,247,523,203,190,137,190,236
총계,기타범죄,아동·청소년의성보호에관한법률위반(알선영업행위등),47,23,34,66,62,87,114,69,65,68,54,40
총계,기타범죄,아동·청소년의성보호에관한법률위반(기타),1113,1465,1063,363,299,349,347,415,353,573,437,539
총계,기타범죄,아동복지법,126,189,320,-,-,-,-,-,-,-,-,-
총계,기타범죄,아동복지법위반(무아동복지시설의 의무위반 등),-,-,-,1,-,-,-,-,-,-,2,-
총계,기타범죄,아동복지법위반(유기·학대 등),-,-,-,72,783,1537,1822,1664,2215,2637,5878,5672
총계,기타범죄,아동복지법위반(기타),-,-,-,762,983,1575,1780,2361,3138,3448,6571,6473
총계,기타범죄,아동학대처벌법위반(비밀유지의무위반 등),-,-,-,-,-,-,-,-,2,1,1,2
총계,기타범죄,아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),-,-,-,-,16,41,78,102,97,98,432,630
총계,기타범죄,아동학대처벌법위반(업무수행 방해 등),-,-,-,-,-,-,1,-,-,2,4,7
총계,기타범죄,아동학대처벌법위반(유기·학대 등),-,-,-,-,13,17,14,19,33,29,31,31
총계,기타범죄,아동학대처벌법위반(처분 불이행 등),-,-,-,1,11,20,26,30,42,42,98,125
총계,기타범죄,아동학대처벌법위반(피해자 등에 대한 강요행위),-,-,-,-,1,-,-,-,-,-,-,2
총계,기타범죄,아동학대처벌법위반(기타),-,-,-,22,102,53,62,55,67,52,77,101
총계,기타범죄,액화석유가스의안전및사업관리법,94,86,117,202,238,95,96,84,97,105,148,108
총계,기타범죄,양곡관리법,5,2,49,16,5,5,4,1,2,1,1,-
총계,기타범죄,여객자동차운수사업법,1377,1765,1241,1270,1903,1116,1768,664,1134,855,379,317
총계,기타범죄,여권법,45,52,45,48,24,43,19,17,26,37,8,17
총계,기타범죄,영해및접속수역법,38,29,28,18,12,21,7,6,9,3,4,3
총계,기타범죄,영화및비디오물의진흥에관한법률,170,203,71,32,15,21,12,12,27,11,17,10
총계,기타범죄,옥외광고물법위반,911,553,767,850,904,1005,665,352,216,158,139,152
총계,기타범죄,위증죄,2212,2308,2230,2231,2212,2016,1930,1893,1746,1540,1290,1395
총계,기타범죄,위치정보의보호및이용등에관한법률,28,44,48,61,48,84,116,98,121,142,195,155
총계,기타범죄,유기와학대의죄,200,227,296,154,99,168,237,260,199,178,140,129
총계,기타범죄,유선및도선사업법,5590,230,68,39,2245,251,174,43,3612,246,129,28
총계,기타범죄,음반·비디오물및게임물에관한법률,22,16,6,5,2,2,2,2,1,1,-,-
총계,기타범죄,음악산업진흥에관한법률,9141,7971,7208,6360,6084,6659,7039,5493,5156,3745,4077,3841
총계,기타범죄,인질강요·살해·상해,3,-,1,-,6,2,-,4,1,1,2,-
총계,기타범죄,일수와수리에관한죄,6,5,7,3,6,4,7,8,9,6,13,11
총계,기타범죄,자동차관리법,14325,11215,11522,13938,14364,25754,18542,15514,16533,19437,23225,24451
총계,기타범죄,자동차손해배상보장법,2603,1772,2320,2598,7279,27734,15506,5688,4973,4548,3849,3571
총계,기타범죄,자연공원법,104,82,99,102,136,112,124,119,107,133,99,81
총계,기타범죄,장물에관한죄,2536,3717,6051,3374,4188,2043,1899,929,890,601,287,235
총계,기타범죄,장사등에관한법률,86,125,99,106,91,74,95,86,110,95,70,54
총계,기타범죄,재난및안전관리기본법,4,3,3,1,4,6,4,5,2,5,7,2
총계,기타범죄,전기통신기본법,75,93,57,60,151,295,343,556,820,1641,4567,5294
총계,기타범죄,전파법,8,21,14,5,22,118,77,52,970,61,1064,40
총계,기타범죄,정보통신망이용촉진및정보보호등에관한법률,8048,9419,8251,-,-,-,-,-,-,-,-,-
총계,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),-,-,-,256,113,94,81,37,36,34,25,15
총계,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),-,-,-,3702,4337,5244,5629,6641,7594,9140,11354,12370
총계,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),-,-,-,1132,1579,1864,2066,1933,2469,2857,2312,2833
총계,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(기타),-,-,-,3675,3759,4116,3234,3442,3563,3916,3908,3102
총계,기타범죄,정신건강복지법,-,-,-,-,-,-,7,15,17,10,9,8
총계,기타범죄,주거침입의죄,6396,7609,8291,8641,10224,11641,11836,13520,17012,18210,18440,18867
총계,기타범죄,주민등록법,2538,3327,3551,2877,3180,2327,1704,2152,1696,2071,1469,1621
총계,기타범죄,주차장법,214,207,241,212,332,249,320,239,154,104,72,68
총계,기타범죄,주택건설촉진법,1,-,2,-,-,-,-,-,-,-,-,-
총계,기타범죄,집회및시위에관한법률,702,566,408,406,506,523,247,188,223,277,297,383
총계,기타범죄,채무자회생및파산에관한법률위반,70,86,90,81,89,90,80,89,78,103,64,71
총계,기타범죄,철도안전법,7,19,29,43,45,43,59,83,73,117,122,158
총계,기타범죄,청소년보호법,9944,9603,9915,8836,8994,8782,9000,8284,8009,7654,5009,6160
총계,기타범죄,총포·도검·화약류등의안전관리에관한법률,487,275,297,360,278,1450,413,346,365,391,348,507
총계,기타범죄,축산물위생관리법,127,39,1601,1452,1125,934,1256,253,221,124,160,253
총계,기타범죄,출입국관리법,1426,1102,1389,1461,1593,2600,2006,2267,3843,2246,1121,1066
총계,기타범죄,통신비밀보호법,78,81,100,128,116,137,135,191,221,243,248,279
총계,기타범죄,특가법(무고),3,3,1,1,1,-,1,1,1,3,-,3
총계,기타범죄,특가법(장물),37,87,373,226,12,2,-,1,-,1,-,-
총계,기타범죄,특경법(보고의무),-,-,-,2,-,-,-,-,-,-,-,-
총계,기타범죄,폭력행위등처벌에관한법률위반(기타),44,34,41,24,29,1,3,7,6,6,8,5
총계,기타범죄,하수도법,94,121,90,92,69,242,84,69,66,68,60,54
총계,기타범죄,하천법,206,496,152,264,275,211,205,213,213,203,1781,151
총계,기타범죄,학원의설립·운영및과외교섭에관한법률,1173,959,766,897,716,532,510,509,407,380,380,293
총계,기타범죄,항만운송사업법,118,511,196,9,312,67,4918,3769,357,96,3229,29
총계,기타범죄,허위감정증거인멸·은닉증인은닉죄,46,52,1029,74,134,90,75,89,117,74,99,128
총계,기타범죄,형사소송법,-,-,1,2,1,1,1,1,2,7,2,4
총계,기타범죄,형의실효등에관한법률,7,10,2,6,2,3,6,9,12,5,8,7
총계,기타범죄,화물자동차운수사업법,1705,2050,1806,2066,2080,1544,2096,2379,2295,3123,2996,1105
총계,기타범죄,기타,17892,23300,24605,16546,23723,21084,20064,22247,31702,30088,30119,35278
