죄종별(1),죄종별(2),죄종별(3),범죄발생장소별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,강력범죄,강제추행,편의점,-,-,183,158,157,176,218,285,275,283,226,277
총범죄,강력범죄,강제추행,대형할인매장,-,-,14,13,5,7,13,19,19,14,14,11
총범죄,강력범죄,강제추행,상점,-,-,264,175,152,187,237,309,399,384,378,373
총범죄,강력범죄,강제추행,시장노점,-,-,137,75,89,117,97,211,210,205,153,150
총범죄,강력범죄,강제추행,숙박업소 목욕탕,-,-,1204,671,656,612,670,1039,1039,827,803,843
총범죄,강력범죄,강제추행,유흥접객업소,-,-,1774,1639,1636,1906,2170,3456,3682,3383,1865,2803
총범죄,강력범죄,강제추행,사무실,-,-,370,411,396,414,406,490,456,507,608,529
총범죄,강력범죄,강제추행,공장,-,-,52,33,32,46,46,40,52,43,64,44
총범죄,강력범죄,강제추행,공사장광산,-,-,9,6,9,11,8,12,17,17,11,12
총범죄,강력범죄,강제추행,창고,-,-,10,6,7,7,14,12,11,11,10,9
총범죄,강력범죄,강제추행,역대합실,-,-,315,222,270,293,359,432,420,296,321,313
총범죄,강력범죄,강제추행,지하철,-,-,613,610,788,786,1046,840,876,505,604,720
총범죄,강력범죄,강제추행,기타교통수단내,-,-,1155,860,793,957,972,1260,1285,1123,904,1017
총범죄,강력범죄,강제추행,흥행장,-,-,54,50,51,53,72,98,107,90,93,95
총범죄,강력범죄,강제추행,유원지,-,-,224,180,222,222,224,243,239,193,191,258
총범죄,강력범죄,강제추행,학교,-,-,187,227,249,276,317,340,338,190,251,340
총범죄,강력범죄,강제추행,금융기관,-,-,15,6,8,13,11,11,12,19,10,18
