대분류,중분류,소분류,교육정도별(1),교육정도별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,절도범,야간주거침입절도(상습),초등학교,졸업,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도(상습),고등학교,졸업,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,야간주거침입절도(상습),대학(4년미만),졸업,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,불취학,소계,188,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,초등학교,재중,296,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,초등학교,중퇴,395,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,초등학교,졸업,1209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,중학교,재중,6554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,중학교,중퇴,2901,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,중학교,졸업,1958,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,고등학교,재중,6087,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,고등학교,중퇴,2078,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,고등학교,졸업,2775,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,대학(4년미만),재중,149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,절도범,특수절도,대학(4년미만),중퇴,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
