대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,폭력범죄,폭행,기타친족,1035,1149,1206,1226,2097,2574,2370,2314,2509,2402,2595,2830
소계,폭력범죄,폭행,거래상대방,1539,1754,1829,1857,1672,1816,1845,1650,1578,1378,1200,1159
소계,폭력범죄,폭행,이웃,3614,3811,3637,3708,3367,3876,3797,3632,3651,3408,3137,2910
소계,폭력범죄,폭행,지인,4492,4926,5107,5433,5531,6094,6147,8180,8472,7684,6058,6673
소계,폭력범죄,폭행,타인,50129,54834,55602,56905,55744,60979,61307,56877,56014,52159,43389,50087
소계,폭력범죄,폭행,기타,11554,8858,5426,2408,2888,3979,2583,3129,2945,2658,3113,3496
소계,폭력범죄,폭행,미상,78361,79789,79118,84816,94992,104515,102231,99409,94746,80185,52957,55051
소계,폭력범죄,체포・감금,국가,-,-,-,-,-,-,-,-,-,-,-,-
소계,폭력범죄,체포・감금,공무원,-,3,2,2,-,-,-,-,-,1,-,-
소계,폭력범죄,체포・감금,고용자,8,6,3,7,2,8,7,6,3,4,4,3
소계,폭력범죄,체포・감금,피고용자,8,11,7,13,9,15,14,10,3,11,16,12
소계,폭력범죄,체포・감금,직장동료,12,21,9,11,5,11,22,13,20,19,17,18
소계,폭력범죄,체포・감금,친구,7,10,15,9,13,31,64,31,50,65,28,32
소계,폭력범죄,체포・감금,애인,139,161,188,177,212,348,382,289,254,221,252,265
소계,폭력범죄,체포・감금,동거친족,25,39,52,58,66,116,170,88,124,95,113,97
소계,폭력범죄,체포・감금,기타친족,34,35,21,25,24,40,63,32,51,58,41,28
소계,폭력범죄,체포・감금,거래상대방,22,18,22,19,19,27,19,23,12,11,10,11
소계,폭력범죄,체포・감금,이웃,7,6,11,11,12,12,13,14,14,14,9,12
소계,폭력범죄,체포・감금,지인,43,93,57,54,81,97,90,123,123,120,127,141
소계,폭력범죄,체포・감금,타인,187,234,203,201,253,364,374,266,279,323,289,240
소계,폭력범죄,체포・감금,기타,112,27,59,24,32,53,42,43,36,47,68,52
소계,폭력범죄,체포・감금,미상,365,449,437,507,498,565,651,670,685,706,547,521
소계,폭력범죄,협박,국가,7,10,3,7,6,36,41,32,37,34,6,18
소계,폭력범죄,협박,공무원,8,8,3,11,11,12,18,14,11,16,10,10
소계,폭력범죄,협박,고용자,32,18,22,22,29,59,60,60,48,47,48,40
소계,폭력범죄,협박,피고용자,19,31,16,19,23,53,49,52,54,49,48,39
소계,폭력범죄,협박,직장동료,37,62,55,60,95,214,218,232,290,267,291,300
소계,폭력범죄,협박,친구,36,73,62,76,92,193,226,178,202,207,251,288
소계,폭력범죄,협박,애인,171,203,216,201,416,955,969,924,976,1006,1037,1146
소계,폭력범죄,협박,동거친족,98,167,181,219,959,2263,2160,2554,3678,3413,4073,4212
