대분류,중분류,소분류,범행동기별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,지능범죄,소계,가정불화,103,73,93,99,83,76,46,44,38,42,21,50
소계,지능범죄,소계,호기심,985,1342,1236,1209,1244,1544,1292,730,596,918,845,894
소계,지능범죄,소계,유혹,1088,1115,1340,1059,1093,1068,951,872,822,920,708,732
소계,지능범죄,소계,우발적,4909,4997,5595,5135,7883,9118,8949,11011,11895,12469,10020,11209
소계,지능범죄,소계,현실불만,270,245,256,238,224,243,187,164,168,149,82,114
소계,지능범죄,소계,부주의,6422,5680,5358,5972,5605,6024,6240,8110,9516,7893,5116,5158
소계,지능범죄,소계,기타,76417,78939,80951,80516,77817,72777,65398,63285,68702,67291,51490,51448
소계,지능범죄,소계,미상,197485,150567,166785,146377,147452,141917,130458,147005,149003,148306,87300,95292
소계,지능범죄,직무유기,이욕,21,9,8,3,5,4,1,3,3,1,-,2
소계,지능범죄,직무유기,사행심,-,-,2,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,보복,2,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,가정불화,1,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,호기심,-,-,-,1,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,유혹,-,-,-,-,-,-,1,-,-,-,-,-
소계,지능범죄,직무유기,우발적,-,-,1,2,1,1,1,1,3,2,8,2
소계,지능범죄,직무유기,현실불만,1,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,직무유기,부주의,17,18,22,21,22,19,19,18,19,25,11,27
소계,지능범죄,직무유기,기타,153,165,131,116,135,131,94,62,68,49,87,24
소계,지능범죄,직무유기,미상,474,631,638,658,697,487,547,629,695,870,704,779
소계,지능범죄,직권남용,이욕,6,11,14,4,10,3,5,4,7,12,12,6
소계,지능범죄,직권남용,사행심,-,-,2,-,-,-,-,1,-,-,-,-
소계,지능범죄,직권남용,보복,-,-,-,-,-,-,-,-,-,-,-,2
소계,지능범죄,직권남용,가정불화,-,-,-,-,1,1,-,-,1,-,-,-
소계,지능범죄,직권남용,호기심,-,-,-,-,-,-,1,1,-,-,-,1
소계,지능범죄,직권남용,유혹,-,-,2,-,1,1,-,-,-,1,-,-
소계,지능범죄,직권남용,우발적,5,1,7,6,2,5,2,13,7,4,7,8
소계,지능범죄,직권남용,현실불만,-,-,-,-,-,-,-,-,1,-,-,-
소계,지능범죄,직권남용,부주의,14,12,6,13,4,6,16,18,25,16,8,9
소계,지능범죄,직권남용,기타,75,68,86,79,74,82,119,139,115,96,119,40
소계,지능범죄,직권남용,미상,257,317,406,493,495,479,536,635,818,892,711,954
소계,지능범죄,증수뢰,이욕,309,203,166,175,104,160,333,204,217,225,143,162
소계,지능범죄,증수뢰,사행심,9,1,13,30,8,40,11,11,26,6,7,10
소계,지능범죄,증수뢰,보복,1,-,1,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,가정불화,-,-,1,-,1,-,-,1,-,-,-,-
소계,지능범죄,증수뢰,호기심,-,-,-,-,-,2,5,3,-,-,-,-
소계,지능범죄,증수뢰,유혹,13,10,21,12,21,31,40,6,8,5,3,4
소계,지능범죄,증수뢰,우발적,8,4,10,16,3,6,24,45,8,6,9,7
소계,지능범죄,증수뢰,현실불만,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,증수뢰,부주의,24,21,13,48,10,15,42,120,23,28,7,11
소계,지능범죄,증수뢰,기타,658,422,452,374,467,362,425,422,404,253,211,200
소계,지능범죄,증수뢰,미상,217,171,178,193,228,172,248,319,256,284,271,309
소계,지능범죄,통화,이욕,30,46,59,37,55,43,79,46,28,14,12,8
소계,지능범죄,통화,사행심,2,-,4,1,1,13,-,2,2,-,-,-
소계,지능범죄,통화,보복,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,가정불화,-,-,1,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,호기심,7,6,7,3,11,4,2,2,3,2,-,1
소계,지능범죄,통화,유혹,10,2,-,2,-,-,2,-,-,-,-,-
소계,지능범죄,통화,우발적,3,5,3,3,6,2,5,1,1,-,-,1
소계,지능범죄,통화,현실불만,-,-,-,-,-,-,-,-,-,-,-,-
소계,지능범죄,통화,부주의,-,2,6,2,3,3,-,-,4,1,-,-
소계,지능범죄,통화,기타,35,44,48,41,28,28,52,24,18,10,11,6
소계,지능범죄,통화,미상,34,58,306,245,182,127,391,180,87,59,35,26
소계,지능범죄,문서・인장,이욕,2117,1654,1853,1813,1691,1822,1584,1298,1416,1337,1007,1128
소계,지능범죄,문서・인장,사행심,219,165,145,141,132,149,122,260,146,134,91,95
소계,지능범죄,문서・인장,보복,2,-,2,4,-,-,-,-,-,-,-,1
소계,지능범죄,문서・인장,가정불화,21,16,19,11,19,16,8,8,14,14,2,11
소계,지능범죄,문서・인장,호기심,423,684,549,508,480,596,537,179,195,264,218,185
소계,지능범죄,문서・인장,유혹,142,159,214,107,95,109,88,63,49,70,28,46
소계,지능범죄,문서・인장,우발적,470,489,492,457,479,431,380,384,380,432,328,437
소계,지능범죄,문서・인장,현실불만,40,28,15,21,19,16,14,7,14,5,6,5
소계,지능범죄,문서・인장,부주의,985,728,795,749,646,684,626,707,778,612,620,706
소계,지능범죄,문서・인장,기타,7225,6732,6792,6440,6283,5594,4619,3738,4012,3773,3186,3237
소계,지능범죄,문서・인장,미상,10461,8824,9530,9209,9178,8607,7940,8932,9249,8824,5955,6013
