대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
형법범,강력범,살인,울산광역시,12,11,12,17,14,14,157,14,15,24,22,14,16,29,26,22,24
형법범,강력범,살인,부천시,15,9,11,15,16,20,122,12,15,10,15,18,14,13,10,14,11
형법범,강력범,살인,수원시,9,9,8,12,18,9,178,22,12,20,13,26,21,33,26,29,20
형법범,강력범,살인,성남시,5,7,10,14,14,6,134,9,16,12,11,19,13,16,18,29,18
형법범,강력범,살인,전주시,9,9,9,11,16,10,42,15,13,12,13,14,13,10,17,11,14
형법범,강력범,살인,안양시,1,1,6,9,9,5,9,7,7,4,7,7,5,7,6,12,11
형법범,강력범,살인,청주시,11,7,15,6,12,17,23,16,16,24,26,12,22,24,16,19,28
형법범,강력범,살인,마산시,3,9,10,7,7,16,8,7,10,9,11,12,8,14,14,13,14
형법범,강력범,살인,창원시,18,4,8,4,8,11,6,19,11,11,7,12,18,11,16,14,10
형법범,강력범,살인,광명시,2,3,4,5,5,3,2,2,4,5,4,5,5,11,3,3,8
형법범,강력범,살인,포항시,7,6,6,15,7,17,11,12,10,10,12,12,15,7,9,14,4
형법범,강력범,살인,안산시,6,5,7,9,11,8,9,11,18,19,19,7,9,15,14,26,17
형법범,강력범,살인,진주시,6,1,5,16,13,8,8,4,11,10,5,7,7,6,6,9,7
형법범,강력범,살인,고양시,4,4,7,5,7,16,6,6,13,9,17,14,9,7,19,11,10
형법범,강력범,살인,제주시,13,10,12,14,9,11,18,14,19,20,27,24,17,17,24,16,20
형법범,강력범,살인,목포시,1,4,9,9,1,7,3,5,6,9,5,8,4,2,2,5,5
형법범,강력범,살인,의정부시,5,2,5,3,5,1,9,5,5,11,6,4,10,11,6,9,12
형법범,강력범,살인,익산시,-,-,-,7,10,10,13,24,17,5,4,4,6,10,8,6,7
형법범,강력범,살인,이리시,4,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
형법범,강력범,살인,군산시,4,3,1,1,3,8,5,8,4,7,7,4,7,3,5,10,5
형법범,강력범,살인,구미시,1,1,9,5,9,13,9,8,6,5,13,9,6,6,7,8,8
형법범,강력범,살인,천안시,8,5,6,5,16,9,16,12,10,10,12,22,24,19,12,9,15
