대분류,중분류,소분류,은신처별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
형법범,지능범죄,직무유기,공범집,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,애인집,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,친족집,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,지인집,-,-,-,1,-,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,숙박업소,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,야외,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,현장검거,-,1,-,-,1,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,외국,1,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직무유기,기타,86,84,54,51,71,78,38,26,35,27,40,19
형법범,지능범죄,직무유기,미상,473,633,634,659,691,485,546,627,692,870,703,778
형법범,지능범죄,직권남용,소계,357,409,523,595,587,577,679,811,974,1021,857,1020
형법범,지능범죄,직권남용,자기집,67,54,74,63,48,65,100,119,102,75,82,50
형법범,지능범죄,직권남용,공범집,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직권남용,애인집,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직권남용,친족집,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직권남용,지인집,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직권남용,숙박업소,-,-,-,-,-,-,-,-,-,1,-,2
형법범,지능범죄,직권남용,야외,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직권남용,현장검거,1,-,1,1,1,-,4,-,1,-,-,-
형법범,지능범죄,직권남용,외국,-,-,-,-,-,-,-,-,-,-,-,-
형법범,지능범죄,직권남용,기타,30,37,40,37,43,30,39,59,53,55,66,16
형법범,지능범죄,직권남용,미상,259,318,408,494,495,482,536,633,818,890,709,952
형법범,지능범죄,증수뢰,소계,1239,832,855,848,842,788,1128,1131,942,807,651,703
형법범,지능범죄,증수뢰,자기집,577,421,373,435,421,370,563,602,519,355,241,222
형법범,지능범죄,증수뢰,공범집,-,-,-,1,-,-,-,-,-,-,-,-
형법범,지능범죄,증수뢰,애인집,2,-,-,1,-,-,-,-,-,-,-,-
형법범,지능범죄,증수뢰,친족집,2,-,-,-,-,1,1,-,-,-,-,-
형법범,지능범죄,증수뢰,지인집,2,2,1,1,-,-,-,3,-,1,-,-
형법범,지능범죄,증수뢰,숙박업소,1,1,-,2,1,3,1,1,1,-,-,-
형법범,지능범죄,증수뢰,야외,1,1,-,-,1,2,-,-,-,-,-,-
형법범,지능범죄,증수뢰,현장검거,8,2,4,3,8,6,5,2,1,5,4,25
형법범,지능범죄,증수뢰,외국,2,-,1,-,1,-,1,1,-,-,-,-
형법범,지능범죄,증수뢰,기타,427,234,299,213,183,234,310,203,166,162,135,148
