죄종별(1),죄종별(2),죄종별(3),범죄발생요일별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,폭력범죄,약취・유인,토요일,38,21,16,20,22,30,30,15,36,18,38,28
총범죄,폭력범죄,약취・유인,화요일,39,33,27,32,23,31,34,27,41,31,25,31
총범죄,폭력범죄,체포・감금,금요일,131,114,145,136,140,188,211,165,196,179,155,153
총범죄,폭력범죄,체포・감금,목요일,133,130,134,110,152,179,216,192,169,187,176,174
총범죄,폭력범죄,체포・감금,수요일,112,127,121,145,165,209,203,180,171,174,170,163
총범죄,폭력범죄,체포・감금,월요일,114,134,132,136,147,208,224,168,189,165,183,189
총범죄,폭력범죄,체포・감금,일요일,99,114,131,106,126,175,197,162,180,166,164,159
총범죄,폭력범죄,체포・감금,토요일,112,117,117,142,141,168,194,151,168,176,137,139
총범죄,폭력범죄,체포・감금,화요일,131,140,149,170,157,191,194,189,170,162,180,168
총범죄,폭력범죄,폭력행위등,금요일,6310,6416,5646,5187,4808,1845,1522,1206,1063,960,901,915
총범죄,폭력범죄,폭력행위등,목요일,6120,6045,5470,5051,4647,1654,1333,1163,1001,919,857,835
총범죄,폭력범죄,폭력행위등,수요일,6114,6122,5466,4954,4788,1667,1447,1088,1086,1008,839,832
총범죄,폭력범죄,폭력행위등,월요일,5983,5831,5280,4813,4626,1586,1402,1175,1126,975,907,883
총범죄,폭력범죄,폭력행위등,일요일,8087,8036,7105,6338,6158,2445,2174,1705,1544,1317,1020,1186
총범죄,폭력범죄,폭력행위등,토요일,7820,7959,7167,6359,5899,2420,2038,1662,1430,1288,1113,1203
총범죄,폭력범죄,폭력행위등,화요일,6295,6316,5570,4987,4760,1685,1339,1205,1100,931,847,891
총범죄,폭력범죄,폭행,금요일,18664,18946,18549,19132,21334,23728,22540,22423,22045,20075,16925,17924
총범죄,폭력범죄,폭행,목요일,17554,17857,17363,17897,20354,22168,21073,21181,21080,18718,15406,16937
총범죄,폭력범죄,폭행,수요일,17246,17933,17643,18258,20088,22403,21317,21160,20981,18976,15691,16943
총범죄,폭력범죄,폭행,월요일,15932,16075,16191,16507,18515,20470,19983,20195,19966,17420,15392,16214
총범죄,폭력범죄,폭행,일요일,19137,19997,19611,20924,23780,27162,26517,25977,25865,22361,17532,19627
총범죄,폭력범죄,폭행,토요일,20399,21614,21506,22218,25159,28079,26853,26997,26494,23248,19302,21039
총범죄,폭력범죄,폭행,화요일,17719,18124,17836,17984,20048,21793,21358,21334,20766,18563,15694,16533
총범죄,폭력범죄,협박,금요일,521,705,700,788,1371,2242,2298,2408,3040,3101,3116,3187
총범죄,폭력범죄,협박,목요일,534,660,669,774,1303,2231,2248,2444,2961,2991,3019,3054
총범죄,폭력범죄,협박,수요일,514,620,741,780,1323,2268,2252,2474,3072,3065,2940,3019
총범죄,폭력범죄,협박,월요일,585,685,749,779,1342,2197,2128,2462,3013,3060,3019,3093
